Sensor Simulator starting (ID: 2, Server: 127.0.0.1:1245, Interval: 30 sec)
Connecting to server...
Connected to server at 127.0.0.1:1245 as sensor node 2
Sending authentication: AUTH sensor_user password123
Sending data: DATA 2 22.76 56.10 1007.80 1745111388
Next transmission at 08:21:18 (30 seconds from now)
Sending data: DATA 2 26.43 43.71 1006.68 1745112078
Next transmission at 08:21:48 (30 seconds from now)
Sending data: DATA 2 24.23 47.97 1011.90 1745112108
Next transmission at 08:22:18 (30 seconds from now)
Sending data: DATA 2 19.62 52.89 1020.38 1745112138
Next transmission at 08:22:48 (30 seconds from now)
Sending data: DATA 2 23.07 57.66 1017.89 1745112168
Next transmission at 08:23:18 (30 seconds from now)
Sending data: DATA 2 26.50 40.96 1010.40 1745112198
Next transmission at 08:23:48 (30 seconds from now)
Sending data: DATA 2 20.83 41.60 1013.28 1745112228
Next transmission at 08:24:18 (30 seconds from now)
Sending data: DATA 2 26.53 54.86 1022.11 1745112258
Next transmission at 08:24:48 (30 seconds from now)
Sending data: DATA 2 18.42 55.52 1008.34 1745112288
Next transmission at 08:25:18 (30 seconds from now)
Sending data: DATA 2 22.24 59.69 1016.78 1745112318
Next transmission at 08:25:48 (30 seconds from now)
Sending data: DATA 2 24.57 56.66 1013.27 1745112348
Next transmission at 08:26:18 (30 seconds from now)
Sending data: DATA 2 17.45 55.52 1016.98 1745112378
Next transmission at 08:26:48 (30 seconds from now)
Sending data: DATA 2 19.29 49.97 1004.94 1745112408
Next transmission at 08:27:18 (30 seconds from now)
Sending data: DATA 2 23.74 55.22 1017.84 1745112438
Next transmission at 08:27:48 (30 seconds from now)
Sending data: DATA 2 22.43 47.36 1015.50 1745112468
Next transmission at 08:28:18 (30 seconds from now)
Sending data: DATA 2 19.87 46.36 1016.46 1745112498
Next transmission at 08:28:48 (30 seconds from now)
Sending data: DATA 2 23.57 54.02 1018.06 1745112528
Next transmission at 08:29:18 (30 seconds from now)
Sending data: DATA 2 18.71 53.08 1012.92 1745112558
Next transmission at 08:29:48 (30 seconds from now)
Sending data: DATA 2 18.27 55.91 1008.44 1745112588
Next transmission at 08:30:18 (30 seconds from now)
Sending data: DATA 2 20.94 46.40 1008.13 1745112618
Next transmission at 08:30:48 (30 seconds from now)
Sending data: DATA 2 17.83 41.54 1004.79 1745112648
Next transmission at 08:31:18 (30 seconds from now)

Received signal 2, shutting down...
Sensor simulator shutdown complete
 08:16:59 (10 seconds from now)
Sending data: DATA 2 18.13 47.57 1021.50 1745111819
Next transmission at 08:17:09 (10 seconds from now)
Sending data: DATA 2 17.87 44.18 1021.61 1745111829
Next transmission at 08:17:19 (10 seconds from now)
Sending data: DATA 2 17.77 52.47 1008.71 1745111839
Next transmission at 08:17:29 (10 seconds from now)
Sending data: DATA 2 17.28 50.31 1004.53 1745111849
Next transmission at 08:17:39 (10 seconds from now)
Sending data: DATA 2 18.58 55.56 1005.95 1745111859
Next transmission at 08:17:49 (10 seconds from now)
Sending data: DATA 2 24.13 44.90 1006.22 1745111869
Next transmission at 08:17:59 (10 seconds from now)
Sending data: DATA 2 18.76 45.47 1004.11 1745111879
Next transmission at 08:18:09 (10 seconds from now)
Sending data: DATA 2 22.77 40.64 1010.86 1745111889
Next transmission at 08:18:19 (10 seconds from now)
Sending data: DATA 2 22.73 40.22 1015.62 1745111899
Next transmission at 08:18:29 (10 seconds from now)
Sending data: DATA 2 22.14 46.60 1014.51 1745111909
Next transmission at 08:18:39 (10 seconds from now)
Sending data: DATA 2 24.36 48.86 1022.09 1745111919
Next transmission at 08:18:49 (10 seconds from now)
Sending data: DATA 2 23.61 50.61 1006.27 1745111929
Next transmission at 08:18:59 (10 seconds from now)
Sending data: DATA 2 22.92 52.15 1018.74 1745111939
Next transmission at 08:19:09 (10 seconds from now)
Sending data: DATA 2 25.78 52.70 1009.04 1745111949
Next transmission at 08:19:19 (10 seconds from now)
Sending data: DATA 2 26.54 55.87 1004.60 1745111959
Next transmission at 08:19:29 (10 seconds from now)
Sending data: DATA 2 18.01 50.13 1009.50 1745111969
Next transmission at 08:19:39 (10 seconds from now)
Sending data: DATA 2 19.63 53.66 1014.97 1745111979
Next transmission at 08:19:49 (10 seconds from now)
Sending data: DATA 2 20.18 45.19 1015.61 1745111989
Next transmission at 08:19:59 (10 seconds from now)
Sending data: DATA 2 24.11 56.66 1015.83 1745111999
Next transmission at 08:20:09 (10 seconds from now)
Sending data: DATA 2 20.42 46.95 1022.43 1745112009
Next transmission at 08:20:19 (10 seconds from now)
Sending data: DATA 2 26.18 41.67 1011.29 1745112019
Next transmission at 08:20:29 (10 seconds from now)
Sending data: DATA 2 25.72 54.90 1021.90 1745112029
Next transmission at 08:20:39 (10 seconds from now)
Sending data: DATA 2 17.36 46.74 1014.05 1745112039
Next transmission at 08:20:49 (10 seconds from now)
Sending data: DATA 2 25.23 44.29 1006.75 1745112049
Next transmission at 08:20:59 (10 seconds from now)
Sending data: DATA 2 18.25 43.37 1022.62 1745112059
Next transmission at 08:21:09 (10 seconds from now)
Sending data: DATA 2 19.05 45.40 1012.75 1745112069
Next transmission at 08:21:19 (10 seconds from now)
Sending data: DATA 2 22.30 50.65 1006.41 1745112079
Next transmission at 08:21:29 (10 seconds from now)
Sending data: DATA 2 18.28 57.02 1011.60 1745112089
Next transmission at 08:21:39 (10 seconds from now)
Sending data: DATA 2 24.59 51.24 1008.26 1745112099
Next transmission at 08:21:49 (10 seconds from now)
Sending data: DATA 2 21.00 58.08 1015.21 1745112109
Next transmission at 08:21:59 (10 seconds from now)
Sending data: DATA 2 20.71 56.44 1016.88 1745112119
Next transmission at 08:22:09 (10 seconds from now)
Sending data: DATA 2 24.86 53.89 1011.78 1745112129
Next transmission at 08:22:19 (10 seconds from now)
Sending data: DATA 2 24.31 54.61 1018.51 1745112139
Next transmission at 08:22:29 (10 seconds from now)
Sending data: DATA 2 19.83 51.06 1022.80 1745112149
Next transmission at 08:22:39 (10 seconds from now)
Sending data: DATA 2 21.71 53.56 1006.17 1745112159
Next transmission at 08:22:49 (10 seconds from now)
Sending data: DATA 2 21.52 57.65 1011.57 1745112169
Next transmission at 08:22:59 (10 seconds from now)
Sending data: DATA 2 26.40 48.25 1022.22 1745112179
Next transmission at 08:23:09 (10 seconds from now)
Sending data: DATA 2 18.10 50.81 1019.23 1745112189
Next transmission at 08:23:19 (10 seconds from now)
Sending data: DATA 2 22.40 45.98 1010.47 1745112199
Next transmission at 08:23:29 (10 seconds from now)
Sending data: DATA 2 25.03 53.98 1008.55 1745112209
Next transmission at 08:23:39 (10 seconds from now)
Sending data: DATA 2 21.13 41.41 1005.00 1745112219
Next transmission at 08:23:49 (10 seconds from now)
Sending data: DATA 2 18.07 57.13 1018.89 1745112229
Next transmission at 08:23:59 (10 seconds from now)
Sending data: DATA 2 22.46 51.75 1013.49 1745112239
Next transmission at 08:24:09 (10 seconds from now)
Sending data: DATA 2 20.22 57.42 1004.55 1745112249
Next transmission at 08:24:19 (10 seconds from now)
Sending data: DATA 2 20.12 46.84 1018.11 1745112259
Next transmission at 08:24:29 (10 seconds from now)
Sending data: DATA 2 21.70 55.88 1015.76 1745112269
Next transmission at 08:24:39 (10 seconds from now)
Sending data: DATA 2 25.99 54.67 1004.01 1745112279
Next transmission at 08:24:49 (10 seconds from now)
Sending data: DATA 2 25.59 56.87 1014.83 1745112289
Next transmission at 08:24:59 (10 seconds from now)
Sending data: DATA 2 23.71 47.67 1020.81 1745112299
Next transmission at 08:25:09 (10 seconds from now)
Sending data: DATA 2 17.44 43.73 1014.79 1745112309
Next transmission at 08:25:19 (10 seconds from now)
Sending data: DATA 2 20.22 52.00 1016.21 1745112319
Next transmission at 08:25:29 (10 seconds from now)
Sending data: DATA 2 21.22 54.14 1013.34 1745112329
Next transmission at 08:25:39 (10 seconds from now)
Sending data: DATA 2 19.17 45.07 1005.09 1745112339
Next transmission at 08:25:49 (10 seconds from now)
Sending data: DATA 2 24.41 51.50 1022.51 1745112349
Next transmission at 08:25:59 (10 seconds from now)
Sending data: DATA 2 25.19 57.74 1009.34 1745112359
Next transmission at 08:26:09 (10 seconds from now)
Sending data: DATA 2 22.75 47.15 1005.22 1745112369
Next transmission at 08:26:19 (10 seconds from now)
Sending data: DATA 2 19.13 45.12 1019.89 1745112379
Next transmission at 08:26:29 (10 seconds from now)
Sending data: DATA 2 19.63 42.31 1016.76 1745112389
Next transmission at 08:26:39 (10 seconds from now)
Sending data: DATA 2 25.55 55.73 1004.43 1745112399
Next transmission at 08:26:49 (10 seconds from now)
Sending data: DATA 2 24.45 56.62 1008.16 1745112409
Next transmission at 08:26:59 (10 seconds from now)
Sending data: DATA 2 20.35 43.06 1020.16 1745112419
Next transmission at 08:27:09 (10 seconds from now)
Sending data: DATA 2 26.95 51.50 1014.30 1745112429
Next transmission at 08:27:19 (10 seconds from now)
Sending data: DATA 2 22.12 55.83 1019.37 1745112439
Next transmission at 08:27:29 (10 seconds from now)
Sending data: DATA 2 23.16 50.66 1010.87 1745112449
Next transmission at 08:27:39 (10 seconds from now)
Sending data: DATA 2 22.92 47.04 1008.61 1745112459
Next transmission at 08:27:49 (10 seconds from now)
Sending data: DATA 2 26.09 58.53 1015.75 1745112469
Next transmission at 08:27:59 (10 seconds from now)
Sending data: DATA 2 17.20 42.79 1020.87 1745112479
Next transmission at 08:28:09 (10 seconds from now)
Sending data: DATA 2 25.65 48.05 1003.18 1745112489
Next transmission at 08:28:19 (10 seconds from now)
Sending data: DATA 2 22.53 45.15 1018.90 1745112499
Next transmission at 08:28:29 (10 seconds from now)
Sending data: DATA 2 23.25 40.05 1015.52 1745112509
Next transmission at 08:28:39 (10 seconds from now)
Sending data: DATA 2 25.83 46.75 1018.58 1745112519
Next transmission at 08:28:49 (10 seconds from now)
Sending data: DATA 2 24.41 46.65 1010.08 1745112529
Next transmission at 08:28:59 (10 seconds from now)
Sending data: DATA 2 20.06 56.89 1005.91 1745112539
Next transmission at 08:29:09 (10 seconds from now)
Sending data: DATA 2 18.24 49.22 1016.58 1745112549
Next transmission at 08:29:19 (10 seconds from now)
Sending data: DATA 2 22.18 41.06 1003.62 1745112559
Next transmission at 08:29:29 (10 seconds from now)
Sending data: DATA 2 24.98 59.24 1022.15 1745112569
Next transmission at 08:29:39 (10 seconds from now)
Sending data: DATA 2 21.36 59.65 1004.93 1745112579
Next transmission at 08:29:49 (10 seconds from now)
Sending data: DATA 2 20.29 56.94 1012.99 1745112589
Next transmission at 08:29:59 (10 seconds from now)
Sending data: DATA 2 20.38 48.00 1018.13 1745112599
Next transmission at 08:30:09 (10 seconds from now)
Sending data: DATA 2 18.33 40.49 1018.19 1745112609
Next transmission at 08:30:19 (10 seconds from now)
Sending data: DATA 2 24.59 58.15 1004.94 1745112619
Next transmission at 08:30:29 (10 seconds from now)
Sending data: DATA 2 22.38 52.96 1011.59 1745112629
Next transmission at 08:30:39 (10 seconds from now)
Sending data: DATA 2 25.93 59.08 1008.48 1745112639
Next transmission at 08:30:49 (10 seconds from now)
Sending data: DATA 2 17.38 41.57 1017.71 1745112649
Next transmission at 08:30:59 (10 seconds from now)
Sending data: DATA 2 24.17 51.92 1018.77 1745112659
Next transmission at 08:31:09 (10 seconds from now)
Sending data: DATA 2 24.48 47.89 1018.01 1745112669
Next transmission at 08:31:19 (10 seconds from now)

Received signal 2, shutting down...
Sensor simulator shutdown complete
